timestep,run,funding_pool,token_supply,collateral_pool,simulation,sentiment,substep,subset,token_price
1,1,2080546.9438106993,52013673.595267475,3120820.415716049,0,0.75,2,0,0.12000000000000001
2,1,2081090.8789426333,52081680.005324244,3128986.519910555,0,0.696667778049817,2,0,0.12015689661280829
3,1,2081560.42884965,52108736.591392875,3132238.399786732,0,0.691667778049817,2,0,0.12021931847428838
4,1,2059075.1298281432,52108736.591392875,3132238.399786732,0,0.686667778049817,2,0,0.12021931847428838
5,1,1949673.0054285778,52272067.17919987,3151904.6646634764,0,0.7481177290232657,2,0,0.12059613612976394
6,1,1925676.294316174,52500044.54395876,3179457.8078427846,0,0.7431177290232658,2,0,0.12112209943671938
7,1,1926206.1811172066,52792634.28849769,3214995.64534428,0,0.7381177290232656,2,0,0.12179712903793304
8,1,1926956.6801964873,52848962.04275242,3221859.864076678,0,0.8197239820180495,2,0,0.12192708199151912
9,1,1882934.3708469095,52992158.47450515,3239343.0407990706,0,0.8917392679303624,2,0,0.12225744842446977
10,1,1883366.0986084756,53208798.0587806,3265882.9824906187,0,0.8867392679303625,2,0,0.1227572545007593
11,1,1883999.2729948873,53382611.42937942,3287254.684444431,0,0.8817392679303625,2,0,0.12315825683399491
12,1,1884471.7596176146,53649703.98606565,3320231.630077772,0,0.8428838451126935,2,0,0.12377446223897641
13,1,1884927.1454246263,53793222.834667794,3338019.3586674626,0,0.8378838451126936,2,0,0.12410557251521394
14,1,1885287.6249557445,53973671.98816255,3360451.665714478,0,0.8328838451126936,2,0,0.12452188416795096
15,1,1885801.2045877273,54155885.09447104,3383179.4845181634,0,0.8278838451126938,2,0,0.12494226541091336
16,1,1842938.4184384882,54304321.353284575,3401750.863345034,0,0.838576764459402,2,0,0.12528472057368895
17,1,1843261.8855346462,54483342.84653245,3424216.4906455125,0,0.833576764459402,2,0,0.12569773849195615
18,1,1843750.2639241305,54632954.05500732,3443048.1015454903,0,0.8285767644594021,2,0,0.12604290436423587
19,1,1727850.0757551934,54739896.6624654,3456540.6511375816,0,0.860774926626884,2,0,0.12628963011936764
20,1,1728476.9087274887,54880226.41265215,3474285.559454887,0,0.8557749266268841,2,0,0.12661338287241183
21,1,1652969.819685976,55212640.318403855,3516501.0739100734,0,0.851774926626884,2,0,0.1273802902245169
22,1,1653398.816777404,55534531.97141929,3557623.249550903,0,0.8467749266268841,2,0,0.12812292183831947
23,1,1619807.957065743,55808548.33232346,3592817.640065326,0,0.8822807647726616,2,0,0.12875510105266152
24,1,1559974.9236465804,56289972.40922857,3655070.8013671343,0,0.94212012449664,2,0,0.12986578763246637
