simulation,participants,candidates,funds_candidates,actives,funds_actives,completed,funds_completed,failed,funds_failed
0,24,0,0.0,4,116632.0133463692,56,1725581.6449641215,54,1996105.518640941
1,28,1,76041.54937346789,1,71929.33191077528,43,2740507.946497598,53,3525228.1587500186
2,37,0,0.0,0,0.0,38,2962369.435623082,61,5352439.955156441
3,47,0,0.0,0,0.0,43,5432381.381646561,60,6361379.447915863
4,67,0,0.0,1,43487.343142851736,50,8257337.710985764,38,5607402.485960229
5,69,2,395770.83953321277,1,146199.03418321148,54,9108202.011584738,55,10646318.297554057
6,78,0,0.0,2,118241.80264745544,45,11216969.961680833,43,9274623.595940473
7,88,0,0.0,0,0.0,39,10921583.705593973,46,11302427.112483699
8,98,1,147227.5285356151,1,39758.10018725987,36,9359023.755212817,53,15402152.711251132
9,112,2,139786.8443724427,1,41390.97927570621,42,11735696.411443494,46,14145574.219549244
10,123,1,142749.1812837356,0,0.0,46,14452022.803963065,51,15960772.998436274
11,132,0,0.0,2,262392.8088852142,47,16357276.345376063,38,16192337.785405364
12,137,0,0.0,0,0.0,50,19736732.04374609,60,21141794.840668287
13,145,0,0.0,0,0.0,46,17091814.96335539,54,23194854.24584195
14,163,2,775923.8352148287,2,428440.7970958818,48,21065369.55993917,49,20980565.15855434
