simulation,participants,candidates,funds_candidates,actives,funds_actives,completed,funds_completed,failed,funds_failed
0,108,1,66037.95626059844,0,0.0,42,12497378.128461657,43,14735257.290368268
1,115,2,321151.0831499672,3,803295.7761088405,57,19234248.71630287,32,10658578.301873421
2,107,1,68453.95431571612,2,174856.957259981,41,12413095.769291941,52,16350635.536770817
3,109,2,349354.3050593266,0,0.0,39,9637971.45653908,61,16831492.617033493
4,110,2,384731.59222093096,1,73684.3313414401,50,12474387.400762111,56,15714521.54591323
5,113,0,0.0,3,679820.2426885685,61,15562943.586674273,62,15853249.605842248
6,112,1,260651.3598674049,2,184433.98903675482,59,13344440.19469026,55,13859927.172247313
7,106,0,0.0,1,309693.30207126786,55,13568180.722110603,58,12977521.480241738
8,108,3,528713.8817052831,0,0.0,64,16349376.14281482,67,13589600.00050262
9,109,1,68946.80858000835,2,354772.2594021092,55,10967687.510265203,69,15490352.466083506
